#station_name,latitude,longitude,timestamp,record,temperature,air_humidity,pressure,solar_radiation,soil_temperature,wind_velocity,wind_direction
#,deg,deg,ts,rn,c,%,mbar,w/m2,deg_c,m/s,deg
Station1,-2.850764,-79.192941,2014-05-13 06:15:00,1,10.63,10,743.1774,2.156174,17.98,0.845,295.3276
Station1,-2.850764,-79.192941,2014-05-13 06:20:00,2,10.69,10,743.2004,3.409225,17.97,0.916,285.5955
Station1,-2.850764,-79.192941,2014-05-13 06:25:00,3,10.69,10,743.2656,4.402618,17.97,0.871,307.3093
Station1,-2.850764,-79.192941,2014-05-13 06:30:00,4,10.71,10,743.2841,5.700919,17.96,0.649,268.4106
Station1,-2.850764,-79.192941,2014-05-13 06:35:00,5,10.67,10,743.3101,6.400824,17.96,0.962,288.0786
Station1,-2.850764,-79.192941,2014-05-13 06:40:00,6,10.61,10,743.3107,12.81273,17.95,0.669,212.0179
Station1,-2.850764,-79.192941,2014-05-13 06:45:00,7,10.62,10,743.3678,16.95503,17.94,0.59,193.0039
Station1,-2.850764,-79.192941,2014-05-13 06:50:00,8,10.74,10,743.429,31.62904,17.94,0.532,259.6522
Station1,-2.850764,-79.192941,2014-05-13 06:55:00,9,10.87,10,743.4408,59.53399,17.93,0.3,232.4778
Station1,-2.850764,-79.192941,2014-05-13 07:00:00,10,10.88,10,743.4613,66.00118,17.93,1.164,326.187
Station1,-2.850764,-79.192941,2014-05-13 07:05:00,11,10.85,10,743.5217,67.87282,17.92,0.826,275.326
Station1,-2.850764,-79.192941,2014-05-13 07:10:00,12,10.88,98,743.5794,87.67094,17.91,0.589,225.0944
Station1,-2.850764,-79.192941,2014-05-13 07:15:00,13,11.02,97.1,743.5961,60.10659,17.91,0.77,313.9581
Station1,-2.850764,-79.192941,2014-05-13 07:20:00,14,11.1,97.1,743.6498,65.86417,17.9,0.604,350.7453
Station1,-2.850764,-79.192941,2014-05-13 07:25:00,15,11.11,32,743.6841,97.9931,17.89,0.978,305.0584
Station1,-2.850764,-79.192941,2014-05-13 07:30:00,16,11.36,44.1,743.6963,219.4655,17.89,0.794,299.2592
Station1,-2.850764,-79.192941,2014-05-13 07:35:00,17,11.99,54.7,743.7512,269.9012,17.88,0.93,312.532
Station1,-2.850764,-79.192941,2014-05-13 07:40:00,18,12.34,34.4,743.832,215.0415,17.87,0.847,298.8668
Station1,-2.850764,-79.192941,2014-05-13 07:45:00,19,12.02,54.6,743.8884,176.2463,17.86,1.143,300.5983
Station1,-2.850764,-79.192941,2014-05-13 07:50:00,20,11.49,66.9,743.9557,154.9577,17.86,1.01,303.0287
Station1,-2.850764,-79.192941,2014-05-13 07:55:00,21,11.6,64.9,744.0042,183.1775,17.86,0.425,295.5876
Station1,-2.850764,-79.192941,2014-05-13 08:00:00,22,11.87,96.9,744.05,166.386,17.86,0.73,196.6299
Station1,-2.850764,-79.192941,2014-05-13 08:05:00,23,11.91,54.5,744.0837,167.5826,17.84,0.727,222.7888
Station1,-2.850764,-79.192941,2014-05-13 08:10:00,24,11.94,11.2,744.0948,185.1255,17.84,0.498,293.7046
Station1,-2.850764,-79.192941,2014-05-13 08:15:00,25,12.01,44.8,744.184,178.4716,17.83,0.727,345.9064
Station1,-2.850764,-79.192941,2014-05-13 08:20:00,26,12.05,76.1,744.1944,191.7924,17.82,0.569,268.4263
Station1,-2.850764,-79.192941,2014-05-13 08:25:00,27,12.06,78,744.1899,190.8086,17.82,0.834,218.7959
Station1,-2.850764,-79.192941,2014-05-13 08:30:00,28,12.56,87,744.1867,438.856,17.81,0.614,141.7047
Station1,-2.850764,-79.192941,2014-05-13 08:35:00,29,13.88,88.4,744.1738,432.9211,17.8,0.749,278.5325
Station1,-2.850764,-79.192941,2014-05-13 08:40:00,30,13.96,87.7,744.2592,218.4295,17.8,0.568,235.2339
Station1,-2.850764,-79.192941,2014-05-13 08:45:00,31,13.42,83.6,744.322,257.0293,17.8,0.798,346.6375
