id,created_at,text,hashtag
814951876949147649,2016-12-30 21:50:43,RT @science: Leap Second makes 2016 one second longer https://t.co/ZiWWNXJ0s0,
784217810083938304,2016-10-07 02:24:30,"Around 954,000 at risk of major storm surge damage from Hurricane Matthew according to CoreLogic https://t.co/BM3KHSAyzG",
784172486736941056,2016-10-06 23:24:24,RT @science: Category Four Hurricane Matthew expected to cause widespread devastation from Florida to North Carolina https://t.co/u8vyzIi7y…,
784014847310565376,2016-10-06 12:58:00,"Aerial footage reveals massive destruction in Jeremie, Haiti from Hurricane Matthew https://t.co/UHr1FOF4Wb",
783879486337146880,2016-10-06 04:00:07,RT @hurricanes: Latest alarming Hurricane Matthew forecast cone from NHC shows major hurricane traveling along Florida east coast https://t…,
771826526836756482,2016-09-02 21:45:58,RT @hurricanes: Graphic from NHC shows 50% or greater chance of TS force winds along Mid-Atlantic &amp; Northeast coastline https://t.co/Z0kedr…,
771095219630637057,2016-08-31 21:20:01,Potential for much of U.S. east coast to feel impact from TS Hermine as 5 day cone shifts west https://t.co/hWwtQXIuiV,
765688451815440384,2016-08-16 23:15:27,"RT @newsalert Death Toll from Louisiana floods reaches 10. At least 40,000 homes damaged. https://t.co/bFCiqa1Orl",
764087658742067202,2016-08-12 13:14:28,Life threatening flooding is parts of Mississippi and Louisiana from Gulf Low https://t.co/RqGPKZcHC6,
759556679285501952,2016-07-31 01:09:58,Weather Channel meteorologist Dave Schwartz has died https://t.co/VW8hqiZRVe,
759122517088808961,2016-07-29 20:24:46,RT @health: First local transmission of Zika virus confirmed in Florida. First U.S. outbreak with 4 cases in northern Miami https://t.co/tj…,
755880953331879936,2016-07-20 21:43:57,Heat wave in Central U.S. expected to hit Northeast this weekend https://t.co/UpWh22jdvv,
754705628304580608,2016-07-17 15:53:38,Potentially deadly heat dome for the Midwest this week https://t.co/PzDwsAMxP8,
745757005814464512,2016-06-22 23:15:00,Moderate risk of severe storms and Derecho risk in midwest https://t.co/m4h6PfIxxe,
739503819424337920,2016-06-05 17:07:04,Area of east coast from NC to PA under enhanced risk of severe storms today https://t.co/DRSaE8bYCQ,
734837820032978944,2016-05-23 20:06:03,360-degree video of tornado recorded in Colorado https://t.co/zPEEa5ZFBq (via @science),
731967421062373376,2016-05-15 22:00:07,NASA uses satellites to track volcanic ash https://t.co/N416Q2XBCr  (via @science),
730025067023736832,2016-05-10 13:21:53,Enhanced risk of severe storms in portions of lower Ohio valley today https://t.co/m4h6PfIxxe,
725017940681056256,2016-04-26 17:45:21,SPC expands area of Moderate Risk - possible outbreak today in central plains and Texas https://t.co/m4h6PfIxxe,
723802980101795840,2016-04-23 09:17:32,"Storm Prediction Center spots outbreak potential for Tuesday, 4-26 https://t.co/FbI5JHx5Em",
709214791894585344,2016-03-14 03:09:17,"Nearly 5,000 homes damaged in Louisiana flooding https://t.co/1Gyg9QelUQ",
708013674196115456,2016-03-10 19:36:28,4 deaths and thousands of evacuations as flooding swamps Louisiana https://t.co/bl0Spby5mS,
700835917884358656,2016-02-20 00:14:38,Winds gusts up to 72 mph reported in Chicago area https://t.co/zIozqFMtQS,
692022824626626560,2016-01-26 16:34:33,Washington struggles to dig out after giant blizzard https://t.co/2w8qzCy8Wy,
691653821685043201,2016-01-25 16:08:16,First snowfall in almost 115 years recorded on Japan's Amami-Oshima island https://t.co/7FdZOtY0Zq,
691110785460752385,2016-01-24 04:10:26,Tian Tian at the Smithsonian National Zoo enjoys the snow from the blizzard https://t.co/eFcjGDG3XC (via @videonacho),
690947973639835648,2016-01-23 17:23:28,NYC forecast updated to 24 to 30 inches due to heavy snow bands https://t.co/uKcrJsMW2T,
689834041336397824,2016-01-20 15:37:06,Weekend DC snowstorm described as potential Storm of a Lifetime in Daily Mail https://t.co/UMu9PtMBPZ,
689649428156682240,2016-01-20 03:23:31,Possible big snow event for the Mid-Atlantic region this weekend https://t.co/c7j0n7yu7f,
681975146974998529,2015-12-29 23:08:40,Colorado tornado photograph named DIRT wins 2015 National Geographic Photo Contest https://t.co/rSmQGS3Gvf (via @science),
668187635437846528,2015-11-21 22:02:01,Chicago's north suburbs get 10+ inches from season's first storm https://t.co/QSaIvOsHxn,
667748248430350336,2015-11-20 16:56:03,Chicago and Detroit among cities that could get heavy snow from early Winter storm https://t.co/UICf1qGFQK,
665296882638258176,2015-11-13 22:35:12,Potential severe weather outbreak for the south early next week https://t.co/oW8n572OoJ,
664426930108633088,2015-11-11 12:58:19,Central U.S. faces threat of severe weather and isolated tornadoes today https://t.co/b6AoFLp0cS,
660213422437494784,2015-10-30 21:55:20,Cat 4 Cyclone Chapala headed for Yemen or Oman is 2nd strongest recorded storm in Arabian Sea https://t.co/pfflSN0oPp,
659064877760118784,2015-10-27 17:51:26,U.S. Postal Service launches Geometric Snowflake stamps https://t.co/FCZiwioWmb,
657515400217759744,2015-10-23 11:14:22,Hurricane Patricia is the strongest hurricane ever measured with 200 mph maximum winds https://t.co/5oiyHk7Evu  (via @science),
651591267923677184,2015-10-07 02:53:58,"World View plans to offer balloon flights into space for private citizens at $75,000 per seat http://t.co/2DrHhMj92Z (via @science)",
651423910823657472,2015-10-06 15:48:57,At least 18 dams breached due to South Carolina flooding http://t.co/jFFRW6oOCM,
651146213081780224,2015-10-05 21:25:29,"9 killed in South Carolina flooding. Historic rainfall a 1,000-year rain event in some locations http://t.co/hrsXwbXB9v",
641699063759433728,2015-09-09 19:45:53,UK's Met Office to let public name storms through Twitter or Facebook suggestions http://t.co/H2gMM99xlv,
