id,created_at,text,hashtag,weight
8.15E+17,30/12/2016 21:50,RT @science: Leap Second makes 2016 one second longer https://t.co/ZiWWNXJ0s0,,10
7.84E+17,30/12/2016 21:50,"Around 954,000 at risk of major storm surge damage from Hurricane Matthew according to CoreLogic https://t.co/BM3KHSAyzG",,5
7.84E+17,30/12/2016 21:50,RT @science: Category Four Hurricane Matthew expected to cause widespread devastation from Florida to North Carolina https://t.co/u8vyzIi7y‰Û_,,3
7.84E+17,06/10/2016 12:58,"Aerial footage reveals massive destruction in Jeremie, Haiti from Hurricane Matthew https://t.co/UHr1FOF4Wb",,2
7.84E+17,06/10/2016 04:00,RT @hurricanes: Latest alarming Hurricane Matthew forecast cone from NHC shows major hurricane traveling along Florida east coast https://t‰Û_,,-1
7.72E+17,02/09/2016 21:45,RT @hurricanes: Graphic from NHC shows 50% or greater chance of TS force winds along Mid-Atlantic &amp; Northeast coastline https://t.co/Z0kedr‰Û_,,4
7.71E+17,31/08/2016 21:20,Potential for much of U.S. east coast to feel impact from TS Hermine as 5 day cone shifts west https://t.co/hWwtQXIuiV,,6
7.66E+17,16/08/2016 23:15,"RT @newsalert Death Toll from Louisiana floods reaches 10. At least 40,000 homes damaged. https://t.co/bFCiqa1Orl",,2
7.64E+17,12/08/2016 13:14,Life threatening flooding is parts of Mississippi and Louisiana from Gulf Low https://t.co/RqGPKZcHC6,,1
7.60E+17,31/07/2016 01:09,Weather Channel meteorologist Dave Schwartz has died https://t.co/VW8hqiZRVe,,0
7.59E+17,29/07/2016 20:24,RT @health: First local transmission of Zika virus confirmed in Florida. First U.S. outbreak with 4 cases in northern Miami https://t.co/tj‰Û_,,0
7.56E+17,20/07/2016 21:43,Heat wave in Central U.S. expected to hit Northeast this weekend https://t.co/UpWh22jdvv,,-1
7.55E+17,17/07/2016 15:53,Potentially deadly heat dome for the Midwest this week https://t.co/PzDwsAMxP8,,-2
7.46E+17,22/06/2016 23:15,Moderate risk of severe storms and Derecho risk in midwest https://t.co/m4h6PfIxxe,,-2
7.40E+17,05/06/2016 17:07,Area of east coast from NC to PA under enhanced risk of severe storms today https://t.co/DRSaE8bYCQ,,-3
7.35E+17,23/05/2016 20:06,360-degree video of tornado recorded in Colorado https://t.co/zPEEa5ZFBq (via @science),,-4
7.32E+17,15/05/2016 22:00,NASA uses satellites to track volcanic ash https://t.co/N416Q2XBCr  (via @science),,-4
7.30E+17,10/05/2016 13:21,Enhanced risk of severe storms in portions of lower Ohio valley today https://t.co/m4h6PfIxxe,,-5
7.25E+17,26/04/2016 17:45,SPC expands area of Moderate Risk - possible outbreak today in central plains and Texas https://t.co/m4h6PfIxxe,,-6
7.24E+17,23/04/2016 09:17,"Storm Prediction Center spots outbreak potential for Tuesday, 4-26 https://t.co/FbI5JHx5Em",,-6
7.09E+17,14/03/2016 03:09,"Nearly 5,000 homes damaged in Louisiana flooding https://t.co/1Gyg9QelUQ",,1
7.08E+17,10/03/2016 19:36,4 deaths and thousands of evacuations as flooding swamps Louisiana https://t.co/bl0Spby5mS,,3
7.01E+17,20/02/2016 00:14,Winds gusts up to 72 mph reported in Chicago area https://t.co/zIozqFMtQS,,4
6.92E+17,26/01/2016 16:34,Washington struggles to dig out after giant blizzard https://t.co/2w8qzCy8Wy,,6
6.92E+17,25/01/2016 16:08,First snowfall in almost 115 years recorded on Japan's Amami-Oshima island https://t.co/7FdZOtY0Zq,,8
6.91E+17,24/01/2016 04:10,Tian Tian at the Smithsonian National Zoo enjoys the snow from the blizzard https://t.co/eFcjGDG3XC (via @videonacho),,11
6.91E+17,23/01/2016 17:23,NYC forecast updated to 24 to 30 inches due to heavy snow bands https://t.co/uKcrJsMW2T,,4
6.90E+17,20/01/2016 15:37,Weekend DC snowstorm described as potential Storm of a Lifetime in Daily Mail https://t.co/UMu9PtMBPZ,,4
6.90E+17,20/01/2016 03:23,Possible big snow event for the Mid-Atlantic region this weekend https://t.co/c7j0n7yu7f,,5
6.82E+17,29/12/2015 23:08,Colorado tornado photograph named DIRT wins 2015 National Geographic Photo Contest https://t.co/rSmQGS3Gvf (via @science),,5
6.68E+17,21/11/2015 22:02,Chicago's north suburbs get 10+ inches from season's first storm https://t.co/QSaIvOsHxn,,6
6.68E+17,20/11/2015 16:56,Chicago and Detroit among cities that could get heavy snow from early Winter storm https://t.co/UICf1qGFQK,,6
6.65E+17,13/11/2015 22:35,Potential severe weather outbreak for the south early next week https://t.co/oW8n572OoJ,,6
6.64E+17,11/11/2015 12:58,Central U.S. faces threat of severe weather and isolated tornadoes today https://t.co/b6AoFLp0cS,,7
6.60E+17,30/10/2015 21:55,Cat 4 Cyclone Chapala headed for Yemen or Oman is 2nd strongest recorded storm in Arabian Sea https://t.co/pfflSN0oPp,,5
6.59E+17,27/10/2015 17:51,U.S. Postal Service launches Geometric Snowflake stamps https://t.co/FCZiwioWmb,,3
6.58E+17,23/10/2015 11:14,Hurricane Patricia is the strongest hurricane ever measured with 200 mph maximum winds https://t.co/5oiyHk7Evu  (via @science),,-1
6.52E+17,07/10/2015 02:53,"World View plans to offer balloon flights into space for private citizens at $75,000 per seat http://t.co/2DrHhMj92Z (via @science)",,-3
6.51E+17,06/10/2015 15:48,At least 18 dams breached due to South Carolina flooding http://t.co/jFFRW6oOCM,,0
6.51E+17,05/10/2015 21:25,"9 killed in South Carolina flooding. Historic rainfall a 1,000-year rain event in some locations http://t.co/hrsXwbXB9v",,-1
6.42E+17,09/09/2015 19:45,UK's Met Office to let public name storms through Twitter or Facebook suggestions http://t.co/H2gMM99xlv,,-2
6.40E+17,04/09/2015 22:36,Jim Bean firenado video virals http://t.co/BeqlQDJ9pQ,,-3
6.38E+17,30/08/2015 20:48,Three Major Hurricanes in the Pacific Ocean simultaneously http://t.co/Puf2OCLeLI (via @hurricanes),,-4
6.29E+17,04/08/2015 13:57,MSG-4 weather satellite returns first image of Earth http://t.co/odExwQrc1o,,-4
6.21E+17,14/07/2015 01:38,Nearly 400 reports of severe thunderstorm winds or thunderstorm wind damage from today's outbreak so far http://t.co/97Od1a6kB6,,-5
6.20E+17,12/07/2015 21:47,Deadly heat wave killed about 750 people in Chicago in July 1995 https://t.co/mebgGI7rwC,,-6
6.17E+17,04/07/2015 15:46,Winter temperatures increased by about 5 to 7 degrees Fahrenheit (3 to 4 degrees Celsius) https://t.co/A1yWP0Y1Ch,,-7
6.03E+17,25/05/2015 13:06,SPC upgrades risk of severe weather to moderate for portions of Texas and southern Oklahoma today http://t.co/6hSFzHTFTx,,-4
5.96E+17,07/05/2015 12:41,Potential for severe weather outbreak Saturday - SPC already has parts of Kansas and Oklahoma at moderate risk  http://t.co/AqI87Wj9P1,,-3
5.92E+17,26/04/2015 13:58,Enhanced risk of severe storms today over much of Texas http://t.co/DRSaE8bYCQ,,-2
5.86E+17,08/04/2015 10:12,Enhanced risk of severe storms  from part of Ok through western Il today http://t.co/DRSaE8tA1q,,-2
5.85E+17,06/04/2015 23:13,"SPC slight risk of severe thunderstorms for wed in central U.S., day 3 convective outlook http://t.co/AqI87WALdB",,-1
5.76E+17,11/03/2015 22:23,"Capracotta, Italy may have received 100.8 inches of snow in just 18 hours - would be world record for 24-hour period http://t.co/jAaf15Bx9T",,0
5.74E+17,06/03/2015 02:15,Hundreds of stranded drivers stuck over 12 hours on Kentucky highway during winter storm http://t.co/RjGEf6ZkU0,,1
5.72E+17,01/03/2015 05:53,Schmoyoho creates thundersnow song featuring Jim Cantore http://t.co/7rW7aV3isD (via @videonacho),,1
5.71E+17,26/02/2015 16:24,Alabama drivers stranded on I-65 overnight due to winter storm http://t.co/j9qysiIPAw,,2
5.67E+17,14/02/2015 22:29,NASA study finds increase in carbon emissions boosts risk of megadroughts http://t.co/ZNTVHImqIn  (via @science),,3
5.66E+17,13/02/2015 14:35,Blizzard watches issued from Cape to Maine. More snow for Boston http://t.co/n7myYVwuyy,,4
